,Program ID,Program Features
0,PANTRY03,Grocery / Client Choice
1,PANTRY04,Home Delivery Service
2,PANTRY05,Pre-Packed Boxes / Bags
3,PANTRY06,Outdoor Seating
4,PANTRY07,Other
5,PANTRY08,Curbside Pickup / Drive Through
6,PANTRY09,Pet Food/Supplies
7,PANTRY10,Online Ordering
8,PANTRY11,Lifting / Carrying Assistance
9,PANTRY12,Reservations
10,PANTRY13,Transportation Assistance
11,PANTRY14,Indoor Service
12,PANTRY15,Outdoor Service
13,PANTRY16,Indoor Service
14,PANTRY17,Indoor Service
15,PANTRY18,Indoor Service
16,PANTRY19,Indoor Service
