,Location Features,Location Features %,Food Program Features,Food Program Features %
0,No Filters Used,0%,No Filters Used,0%
1,Air Conditioning,100%,Curbside Pickup / Drive Through,50%
2,Near Public Transportation,100%,Grocery / Client Choice,50%
3,Parking Available,100%,Home Delivery Service,50%
4,Restrooms Available,100%,Indoor Service,50%
5,Safe Space,100%,Lifting / Carrying Assistance,50%
6,Seating in Waiting Area,100%,Online Ordering,50%
7,Wheelchair Accessible,100%,Other,50%
8,Wi-Fi Available,100%,Outdoor Seating,50%
9,Near Public Transit,0%,Outdoor Service,50%
10,,,Pet Food/Supplies,50%
11,,,Pre-Packed Boxes / Bags,50%
12,,,Reservations,50%
13,,,Transportation Assistance,50%
14,,,Dietary Menu Options,0%
15,,,Grocery/Client Choice,0%
16,,,Pre-Packed Boxes/Bags,0%
17,,,Prepared Food,0%
