,Audience,L. Features,P. Features,Items,Dietary
0,Older Adults / Seniors,Seating in Waiting Area,Grocery/Client Choice,Dairy,Gluten Free
1,Teenagers / Young Adults,Wheelchair Accessible,Home Delivery Service,Eggs,Vegan
2,Children / Youth,Restrooms Available,Pre-Packed Boxes/Bags,Meat,Vegetarian
3,Veterans,Parking Available,Prepared Food,Fruits & Vegetables,Other
4,LGBTQ+,Air Conditioning,Other,Shelf-Stable/Non-Perishable Goods,Halal
5,Immigrants,Near Public Transportation,Curbside Pickup / Drive Through,Other,Kosher
6,Unhoused,Wi-Fi Available,Pet Food/Supplies,Prepared Food / Grab and Go,Ground or Pureed
7,Homebound,Safe Space,Online Ordering,Toiletries / Hygiene Products,
8,Persons with Disabilities,,Lifting / Carrying Assistance,Pet Food / Supplies,
9,People Managing Chronic Health Conditions,,Reservations,Diapers,
10,Adults,,Transportation Assistance,Household Products,
11,,,Indoor Service,Sit Down Meals,
